,product_category_name,count
0,bed_bath_table,10952
1,health_beauty,9462
2,sports_leisure,8428
3,furniture_decor,8156
4,computers_accessories,7643
5,housewares,6795
6,watches_gifts,5857
7,telephony,4428
8,garden_tools,4267
9,auto,4139
10,toys,4029
11,cool_stuff,3715
12,perfumery,3340
13,baby,2981
14,electronics,2729
15,stationery,2466
16,fashion_bags_accessories,1985
17,pet_shop,1924
18,office_furniture,1668
19,consoles_games,1089
20,luggage_accessories,1077
21,construction_tools_construction,916
22,home_appliances,754
23,small_appliances,657
24,musical_instruments,651
25,home_construction,596
26,books_general_interest,536
27,food,499
28,furniture_living_room,495
29,home_confort,429
30,audio,362
31,drinks,361
32,market_place,305
33,construction_tools_lights,301
34,air_conditioning,289
35,kitchen_dining_laundry_garden_furniture,274
36,food_drink,269
37,industry_commerce_and_business,264
38,books_technical,263
39,fashion_shoes,257
40,fixed_telephony,255
41,costruction_tools_garden,232
42,home_appliances_2,231
43,agro_industry_and_commerce,206
44,computers,199
45,signaling_and_security,197
46,art,197
47,construction_tools_safety,182
48,christmas_supplies,150
49,fashion_underwear_beach,127
50,fashion_male_clothing,125
51,costruction_tools_tools,103
52,furniture_bedroom,103
53,tablets_printing_image,83
54,small_appliances_home_oven_and_coffee,73
55,cine_photo,70
56,dvds_blu_ray,61
57,books_imported,57
58,fashio_female_clothing,45
59,party_supplies,42
60,music,38
61,diapers_and_hygiene,37
62,furniture_mattress_and_upholstery,37
63,flowers,33
64,home_comfort_2,30
65,fashion_sport,29
66,arts_and_craftmanship,24
67,portable_kitchen_and_food_preparers,14
68,la_cuisine,14
69,cds_dvds_musicals,14
70,pc_gamer,8
71,fashion_childrens_clothes,7
72,security_and_services,2
